Nom et nature,Conditionnement,PPV
"ERECTOR 25 MG, Comprimé enrobé",Boite de 8,160
"SEPTEAL, solution pour application locale",Flacon de 60ml,12.2
"ROPIVA ZENITH 7.5 MG / ML, Solution injectable",Boite d'une ampoule de 20 ml,75.9
"SOUFRANE 2 %, Solution pour pulvérisation nasale",Flacon de 20 ml,16.3
"ALGIK 500 MG / 50 MG, Poudre orale en sachet",Boîte de 20,21.8
"ORELOX ENFANT ET NOURRISSONS 40 MG / 5 ML , Suspension buvable",Flacon de 50 ml,76.9
"MAGNE B6 470mg/5mg , Comprimé",Boîte de 50,30.8
"DRAMAMINE 50 MG, Comprimé",Boîte de 10,7.5
"CIVASTINE 20 MG, Comprimé pelliculé",Boîte de 14,51.7
"RECOFOL 10mg/ml Solution injectable, Ampoule de 20 ml",Boîte de 5,
"TEPHACYCLINE 500 MG, Comprimé",Boîte de 20,40.3
"SULIAT HCT 160 MG / 5 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,105.2
"SIMVASTATINE WIN 20Mg, Comprimé pelliculé sécable",Boite de 28 comprimés dosé à 20 Mg,44.2
"ZAIDENA 100 MG, Comprimé pelliculé",Boite de 2,89.8
"ALPRAZOLAM WIN 0.5 MG, Comprimé sécable",Boite de 30,31
"RADIOSELECTAN 76%, Solution injectable",Flacon de 20 ml,49.1
MENCEVAX ACWY Vaccin lyophilisé,Flacon de 10 doses,1221
"DOCEWIN 80 MG/2 ML, Solution à diluer pour perfusion",Boîte de 1 Solution : FL/2 ml Solvant : FL/6 ml,2467
"MAGNEVIST 46,90 %, Soluté injectable",Flacon de 15 ml,893
"CETAMYL 500 MG, Sachet",Boîte de 12,14.3
"CYCLOMIDE NOVOPHARMA 500 MG, Poudre pour usage parentérale",Flacon de 500 MG,50.5
"PROJEVA 100 MG, Capsule molle orale ou vaginale",Boite de 90,142.5
"FLUCONAZOLE WIN 150, GÉLULE",Boite de 7 comprimés,95.5
"BERTOCIL 0,5 %, Collyre",Flacon de 3 ml,50
"MILLYGYNON 0,6 MG, Comprimé",Boîte de 3x 28,63.9
"PHENOCILLINE 1 000 000 UI, Comprimé",Boîte de 12,32.9
"NORMALITE 1000 , Gelule",Boite de 30 gelules,109
"RIACEN 10 mg , Gélule",Boîte de 20,44.3
"LOXEN 20 MG, Comprimé sécable",Boîte de 30,65.4
"BICALUTAMIDE GT 50 MG, Comprimé pelliculé",Boîte de 30,478
"RECORMON 3000 UI / 0,3 ML, Solution injectable",Boîte de 6 seringues pré-remplies,1621
"DOXYMYCINE 100 MG, Comprimé dispersible",Boîte de 10,42
"NICOPASS SANS SUCRE REGLISSE MENTHE 2,5 MG, Pastille",Boite de 12 pastilles à sucer,85.5
"RETISOLNAA 0,05% Crème",Tube de 25g,97.7
"PHOCYTAN 0.66 MMOL / ML, Solution à diluer pour perfusion",Boite de 50 ampoules de 10 ML,1578
"AMOXICILLINE-ACIDE CLAVULANIQUE MYLAN 2 G / 200 MG ADULTES, Poudre pour solution injectable",Boîte de 1 flacon,51
"MAXICLAV 1 G / 125 MG, Sachet",Boîte de 16,132
"VIRAFERON PEG 80 mcg, Poudre et solvant pour Solution injectable en stylo pré-rempli",Boîte de 1 nécessaire,1692
"ACIDE dextrose EM 80 D2, Soluté concentré pour hémodialyse",Bidon de 5 litres,80
"FLUPEN 500mg, gélule",Boite de 24 gélules,67
"STATOR 20 MG, Comprimé",Boîte de 60,170
"HEMOFAST, Pommade",Tube de 10 G,19.6
"PAROXETINE WIN 20mg, Comprimé",Boite de 30 comprimés pelliculés sécables,132
"IRPHI 75 MG, Comprimé pelliculé",Boite de 10,18.2
"NORMET 100 MG, Comprimé sécable",Boîte de 30,82
GONAL-F 1050 UI,Boîte de 1 flacon,2835
"MADECASSOL 1%, Onguent",Tube de 10g,24
"VOGASET 8 MG / 4 ML, Solution Injectable",Boîte de 5,484
"IRPHI PLUS 150 MG / 12.5MG , Comprimé pelliculé",Boite de 20,102
DIALYSOL ACIDE Concentré liquide d'hémodialyse,Poche 5 L,
"TRILEPTAL 300 MG, Comprimé pelliculé",Boîte de 50,222
"GEMZAR 1000 mg , Lyophilisat pour usage parenteral",Flacon de 50 ml,1200
"ETOPOSIDE COOPER 100 MG, Solution Injectable",Boîte de 5 Flacon de 5 ml,529
"PNEUMOCCID 500 MG, Gélule",Boîte de 24,
"ASTAPH 250 MG / 5 ML, Poudre pour suspension buvable",Flacon de 60 ml,40.3
"MEDIVEINE 600 mg , Comprimé sécable",Boîte de 30 comprimés,60
"GENOTROPIN 16 UI, Poudre pour usage parentéral SC en stylo",Boîte de 1 stylo ( Lyophilisat + solvant en cartouche ),1132
"KLARCINE 500mg, Comprimé enrobé",Boîte de 14 comprimés,192.2
"SODIUM CHLORURE 0,9% 5 ml",Boîte de 100 ampoules,
"TERBINAFINE GT 250 MG, Comprimé sécable",Boîte de 7,75
"MIGRIX 5 MG, Comprimé",Boite de 6,157.2
"ARTESUNATE - AMODIAQUINE WINTHROP 50 MG / 135 MG, Comprimé bicouche",Boîte de 3,
"RÉMOX 1%, Crème",Tube de 20 g,19.4
"CATEX 250 MG, Comprimé",Boîte de 10,79.4
VENLAX XR COOPER 75 mg Gélule à libération prolongée,Boîte de 30,
"MYCODERME 150 mg, Ovule",Boîte de 3,38
"DIALYSOL ACIDE, Concentré liquide d'hémodialyse",Bidon 5 L,
"PENTASA 1G /100ml, Suspension rectale",5 Flacons de 100ml,256
"PRAZOL 20 MG, Gélule",Boîte de 7,30
"RELAXOL 500 mg /2mg, Comprimé",Boîte de 20,53.1
"APTAMIL PEPTI-JUNIOR, Lait",Boite de 400G,150
"ZOMETA 4 MG/100 ML, Solution pour perfusion",Boite de 100 ML,1334
"SSB 400, Comprimé",Boite de 28 comprimés,3000
"CAPD/DPCA 4, Solution pour dialyse péritonéale",Boîte de 4 poches de 2000ml,376
"ALPHACHYMOTRIPSINE, Pommade",Tube de 20 g,16.1
"SOLIAN 100 MG, Solution buvable",Flacon de 60 ml,365
LIOTON 100 000 UI Gel,Tube de 50 g,53
"MELOXICAM GT 15 MG, Comprimé sécable",Boite de 20,87.8
"MENPOVAX A+C VACCIN MENINGOCOCCIQUE, Préparation injectable","1 dose + ampoules de solvant 0,5 ml",65
SOLUTION POUR DIALYSE PÉRITONÉALE BIEFFE FORMULE 55,2 litres,
"IPP 20 MG, Gélule",Boite de 7,22
FLUIMUCIL 200 mg Sachet,Boîte de 30,51.35
"ARIPIPHI 10 MG, Comprimé",Boite de 30,350
STAPHYPEN 500 mg Gélule,Boîte de 12,68.3
"IMPLANON 68mg, Implant à usage sous cutané",Boîte de 1 + Applicateur,1054
"SPECTRUM 250 MG, Comprimé pelliculé",Boîte de 10,55
"BRONCOTEC 12 µG, Gélule pour inhalation",Boîte de 30,123.8
"VANCOMYCINE MYLAN 1 G, Poudre pour solution injectable perfusion (IV)",Boîte de 1 flacon,352
"ERECTOR 25 MG, Comprimé enrobé",Boite de 12,239
"PERLO 20 MG, Comprimé sécable",boite de 28,157.7
"GRISEOPHARM 500 mg , Comprimé",Boîte de 20,34.5
"IPAC 40 MG, Gélule gastro-résistante",Boite de 14,99
"PARASPHAN Comprimé effervescent,",Boîte de 20,30.9
ZIACAINE 2 % NORADRENALINE Solution injectable,"Boîte de 50 cartouches 1,8 ml",
"CEFTRIAXONE MYLAN 500 MG / 5 ML, Poudre solvant Soluttion injectable (IV)",Boîte de 1 flacon,57
"ACTIVELLE 1 MG / 0,5 MG, Comprimé sous distributeur journalier",Boite de 28,129
"TROPHIRES ENFANTS, Sirop",Flacon 125 ml,16.1
"CIVASTINE 40 MG, Comprimé pelliculé",Boîte de 30,217
OSCILLOCOCCINUM 200,6 Doses,71.5
"OPTICILLINE 250 mg Sachet ,",Boîte de 16,34.2
"KLIACEF 250 mg / 5ml, Poudre pour solution buvable",Flacon 100 ml,92.8
"TALAFIX 400mg, Gélule",Boîte de 30,125
"RISPERIDONE GT 1 MG, Comprimé",Boite de 10,37
"CO-AMOXICLAV SP 500 MG / 62.5 MG, Poudre pour suspension buvable en sachet",Boite de 24,116.8
"ARICEPT 5 MG, Comprimé",Boîte de 28,552
"TAHOR 40 MG, Comprimé",Boîte de 28,159.9
"NOMIFER, Sirop",Flacon de 200 ML,84
"DELTAZINE ADRÉNALINÉE AU 1/100.000 68 mg/0,017 mg Solution injectable","Boîte de 50 cartouches de 1,7 ml",
"LINCOCINE 600 mg/2ml, Solution Injectable",Boîte de 6,88.3
"BIOSULIN 30/70 100 UI, Solution injectable",Flacon de 10 ml,130
EM 142 soluté concentré pour hémodialyse,Bidon de 5 litres,
"COLENOR 40 MG, Comprimé sécable",Boite de 10,60.4
"TOPSYNE GRAS 0,005% Pommade",Tube de 15 g,23.6
"AGIDERM 2 %, Crème",Tube de 15 g,28
"EFFERALGAN Vitamine C, 330 mg du 200 mg, Comprimé effervescent",Boîte de 20,20.2
"TROPHIRES ENFANTS, Suppositoire",Boîte de 8,10.2
"DOLMAX FT 125 MG, Comprimé dispersible",Boîte de 12,14
"PUREGON 300 UI / 0,36ml, Solution Injectable",Boîte de 1,1382
"XTANDI 40 MG, Capsule molles",Boite de 112,30353
"CO-TRIM 400 MG / 80 MG, Comprimé",Boite de 20,30.6
"ELIQUIS 5 MG, Comprimé pelliculé",Boite de 60,960
"CLOPIDOGREL GT 75 MG, Comprimé pelliculé",Boite de 60,447
"NO-SPA 40mg , Comprimé",Boîte de 20,32
"DESYAL 5 MG, Comprimé pelliculé",Boite de 20,53.4
"ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ML,1356
"SARGENOR 1G / 5 ml , Ampoule buvable de 5 ml",Boîte de 20,47
"UMAX 400 µg LP, Gélule",Boîte de 10,46.1
"TRISIUM, Comprimé",Boîte de 20,30.1
"KARHLA 0.03 MG / 3 MG, Comprimé pelliculé",Boite de 21,70
"LISASPIN 500 MG, Poudre orale",Boîte de 20,22.8
"NARSEC, Granulés en sachet",Boite de 12,24
"AXIMYCINE 500 MG, Injectable",Boîte de 1 flacon + 1 solvant (Alcool benzylique 3%),11.4
"LD-NOR 40 MG, Comprimé pelliculé",Boite de 10,60.4
"LEXOMIL 6 MG, Comprimé quadrisécable",Boîte de 30,42.8
"LETROZOLE 2,5 MG, Comprimé pelliculé",Boite de 10,211
"ASCAL 250, Sachet",Boîte de 20,20.2
"CLOPRAME 100 MG/100 ML, Solution buvable,",Flacon 130 ml,18.3
"CETIRAL 10 MG, Comprimé pelliculé",Boîte de 15,52
"ISONE 50 MG, Comprimé",Boîte de 20,85.8
"DOGMATIL 0,5 G / 100 ML, Solution buvable",Boîte d'un Flacon de 125 ml,16.3
"DESIRETT 75 µg, Comprimé pelliculé",Boite de 28,42
"DECAPEPTYL LP 11.25 MG, Suspension injectable en IM",Boîte de 1 Poudre+ solvant,3546
"ELVORINE 25 MG / 2,5 ML , Solution injectable",Boîte de 1 Flacon,48.6
"NOVONORM 1 MG, Comprimé",Boîte de 90,177.5
"DESTEC 0.5 MG / ML, Solution buvable",Flacon de 60 ML,25
BUCCOSEPT Solution pour bain de bouche,Flacon de 200 ml,22.95
"INDOCOLLYRE 0,1 % , Collyre",Flacon de 5 ml,58
"ACFOL 5 MG, Comprimé",Boite de 28,26.2
"LANZEN 30MG LP, gélule",Boite de 14 gélules dosées à 30 mg,42
"ICAZ L.P 2,5 mg , Gélule à libération prolongée",Boîte de 30,118.1
"DOLIRHUME 500 MG / 30 MG, Comprimé",Boîte de 16,18.3
"RINIAZIDE 150/100 mg , Gélule",Boîte de 100,20.4
"KONAKION MM 2 MG / 0,2 ML, Solution pédiatrique pour usage oral ou parentéral (IM/IV)","Boîte de 5 ampoules de 0,2 ml",44.7
"OXALIPLATINE KABI 5 MG / ML, Solution à diluer pour perfusion",Flacon de 10 ML,852
"PROTAMINE CHOAY 1000 UAH / ML, Solution injectable",Boîte de 1 Flacon de 10 ml,166.2
"PRIMACAINE ADRENALINE 1/100 000 60,277mg-0,017mg , Solution pour usage dentaire",Boîte de 50 cartouches,327
"XERIUM 20 MG, Comprimé sécable",Boite de 56,216
"CALCINIB 5 MG, Comprimé",Boîte de 28,49.4
"NOCOL 20 MG, Comprimé pelliculé",Boîte de 60,188.5
"NOCOL 20 MG, Comprimé pelliculé",Boîte de 30,97.6
"SANDOSTATINE 50 µG / ML, Ampoule Injectable",Boîte de 6 Ampoule de 1 ml,344
"STANORM 10 MG, Comprimé pelliculé",Boite de 10,22.4
"TEMESTA 2,5 mg , Comprimé pelliculé sécable",Boîte de 30,29.5
"ANTISTAPH / PENISTAPH 500 MG, Gélule",Boite de 24,89.9
"GEMRESEC 200 MG, Poudre pour solution pour perfusion",1 flacon de 10 ML,257
"ZITHROMAX 200 MG, Sachet",Boîte de 3,128.4
"ROSUSTAR 5 MG, Comprimé",Boite de 28,127.4
"HERCEPTIN 600 MG, Solution injectable",Un flacon de 5 ml,10533
"ANDRIOL TESTO, Capsule",Boîte de 30,120
"MEXINE 250 MG, Comprimé",Boîte de 10,35.5
"ANTINOREX 0,04%, Sirop",Flacon 125 ml,14
"PROTON 20 MG, Gélule",Boîte de 28,102
"GLYNORM 0.5 MG, Comprimé",Boite de 30,49.4
"VECTIBIX 20 MG /ML, Solution pour perfusion",Flacon de 20 ML,17580
"PUREGON 600 UI / 0,72 ML, Solution Injectable",Boîte de 1,2700
"PREPACOL COFFRET , Solution orale+ Comprimé",Boîte de 1 Flacon de 30 ml + 1 Blister de 4 comprimés,17.85
"AGREL 75 MG, Comprimé pelliculé",Boite de 50,316
"ROSUCAL 5 MG, Comprimé pelliculé",Boite de 14,66.7
"YRANOL EUGENOL 4,10 g 20,50 g 28,65g 16,25 g Solution pour usage dentaire locale",Flacon de 13 ml,
"REJUVANAA 0,025% Crème","Crème à 0,025% tube de 20g+Crème de jour tube de 40g",228
"COIRBESAR SUN 150 MG / 25 MG, Comprimé pelliculé",Boite de 28,163.6
"PANFUREX 100 mg , Gélule",Boîte de 30,23
"GAPREX 25 MG, Gélule",Boite de 10,23.2
"AZ 200 MG / 5ML, Poudre pour solution buvable",Flacon de 30 ml,70
"ARTROVIAL, Seringue pour injection intra-articulaire","Boite de 3 seringues stériles à 2,2% pré-remplie de 2 ml pour injection intra-articulaire",840
"NAABAK 4,9 %, Collyre",Flacon de 10ml,84
"APROVEL 150 MG, Comprimé",Boîte de 28,158.3
"XARELTO 15 MG, Comprimé pelliculé",Boite de 42,1326
"ELOZOLE 2.5 MG, Comprimé pelliculé",Boite de 30,712
"CEDOL 400 MG / 20 MG, Comprimé",Boite de 20,22
"NOVOCLIN 1 G / 125 MG, Sachet",Boîte de 24,188
"TRI-MINULET, Comprimé enrobé",Boite de 21,89.1
"XEDILOL 25mg , Comprimé",Boîte de 30,95
"CO-AMOXICLAV 500 MG / 62,5 MG, Sachet",Boite de 16,88.3
"INSULET 30 / 70 100 UI/ML, Suspension injectable",5 cartouches,260
"HEMO-PUR AG6, Solution concentrée acide pour hémodialyse",Transcuve 1000 L,6539
"ONYXINE 5 %, Vernis à ongle médicamenteux",Boite d'un flacon de 2.5 ML avec 10 spatules,205
"REVLIMID 25 MG, Gélule",21 gélules,43847
"EVITOP 60 MG, Comprimé pelliculé",Boite de 2,78.1
"ZAREX 150mg, Poudre injectable",Boîte de 1 Flacon,968
"SYNACTHEN 1MG, Soluté injectable",Boîte d'une ampoule,47.3
"IMATINIB ZENITH 400 MG, Comprimé pelliculé",Boite de 30,3016
"NATRIXAM 1.5 MG / 10 MG, Comprimé à libération modifiée",Boite de 30,87.5
"NAN 1ER AGE OPTIPRO, Lait",Boite de 400G,73
"DISPAMOX 125 MG, Poudre pour suspension buvable",Flacon de 100 ml,25.4
"MICROPAQUE 100 g , Suspension buvable ou rectale",Boîte de 1 Flacon de 2 l,
"GLEMA 3 MG, Comprimé",Boite de 90,154.8
"SANDIMMUN 25 mg, Capsule molle",Boîte de 50,565
"HERPIX, CRÈME",Tube de 15 grammes,55
"ACIDE ALENDRONIQUE NORMON 70 MG, Comprimé",Boite de 4,176
"S-CITAP 5 MG, Comprimé pelliculé",Boite de 30,91
"RAMIPRIL WIN 10 MG, Comprimé",Boîte de 30,108
"S-PERAM 10 MG, Comprimé pelliculé",Boite de 20,89
"S-PERAM 10 MG, Comprimé pelliculé",Boite de 30,131
"METHYLPREDNISOLONE MYLAN 1 G, Poudre pour solution injectable",Boîte de 1 flacon,228
"AMIPRIM 50 MG, Comprimé sécable",Boite de 30,84.7
"KETUM 2,5% Gel",Tube de 30g,30.6
"DOBUTAMINE AGUETTANT 250mg/20 ml, Lyophilisat pour solution injectable",Boîte de 10 ampoules de 20 ml,802
"NIZORAL 200 mg , Comprimé sécable ( Retiré du marché )",Boîte de 10,193.4
"DIURIMAT 1.5 MG, Comprimé",Boîte de 30,52
"LYSO 6 20 mg 10 mg , Comprimé Sublingual",Boîte de 20,15
"CIFLOXINE 250MG,Comprimé enrobé",Boîte de 20,112.1
"AGENOS , Comprimé effervescent",Boite de 20,65
OMACOR 1000 mg Capsule molle oblongue,Boîte de 28,281.9
"KINTEX, Sirop",PPV: 55 dhs,
"APAISYL 0,75%, Gel",Tube de 20 g,9.1
"DOLPINE 10 MG, Comprimé",Boite de 30,76
"CO-AVEPRO 300 MG / 12.5 MG, Comprimé",Boite de 14,85
"VICARDIA 2,5 MG, Comprimé sécable",Boite de 30,26.5
"ACTIDIGEST, Comprimé",Boite de 40,112
"OVITRELLE 250 µg / 0,5 ml, Solution injectable",Boîte de 1 seringue pré remplie,214
"TRINOMYC 2 MG / ML, Solution pour perfusion",Flacon de 200 mg/100 ml,268
"CHLORPROMAZINE PHARMA5 100 MG, Comprimé pelliculé",Boite de 30,13.8
"TEGUMA 1 %, Crème",Tube de 30g,70
"EPIRUBICINE PHARMED 50 MG/25 ML, Solution pour injection",Boite d'un flacon de 25 ML,325
"MAZAX 100 MG, Poudre pour suspension buvable en sachet",Boîte de 3,48
"HUMER 150, Hygiène du nez adulte",Flacon pulvérisateur de 150 ml,96
"CHLORURE DE SODIUM 0,9% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Twist Off en PVC plastifié, 1000 ml",26.5
"UN-ALFA 0,25 µg Capsule",Boîte de 30,74.6
"IRVEL 300 MG, Comprimé pelliculé",Boite de 14,84
"KALIEFF 1,4g Comprimé effervescent,",Boîte de 18,28.4
"OPRA 20 MG, Gélule gastro-résistante",Boite de 28,79
"OLIMEL N7E, Émulsion pour perfusion",Poche de 2000 ML,617
"BINOCRIT 5000 UI / 0,5 ML, Solution injectable",Boite de 6 ampoules injectables,1744
"SULFAPRIM 200 MG / 40 MG par 5 ML, Suspension buvable",Flacon de 100 ml,18.3
"MALANIL 250mg/100mg ADULTE, Comprimé",Boîte de 12,497
"DIPREZAR 50 MG / 12.5 MG, Comprimé pelliculé",Boite de 90,327
"THYROGEN 0,9mg, Poudre lyophilisée pour solution injectable IM",Boite de 2 flacons de 5ml,9080
"INSULET MIX 30 100 UI/ml , Suspension injectable",Flacon de10 ml,85
"BIAFINE, Emulsion pour application cutanée",Tube de 186 g,76
"ACIVIR COOPER 800 MG, Comprimé",Boite de 25,370
"VOGALENE 10 MG / 1ML, Solution Injectable",Boîte de 5,15.6
"ALFAPROXINE 250 MG, Comprimé pelliculé",Boîte de 10,60.7
RANITIL 300 mg Comprimé,Boîte de 30,163.2
"EPIRUBICINE MYLAN 2ML/ML, Solution à diluer pour perfusion",Boite de 1 flacon,74
EAU P.P.I. 5 ml,Boîte de 10,23.15
"STIMOL 1 g/10 ml , Solution buvable",Boîte de 20 Ampoules,46
REVOCIR 5% Crème,Tube de 10 g,40
"MEDIZAPIN 7.5 MG, Comprimé",Boîte de 30,418
"MEROPENEME HOSPIRA 1 G, Poudre pour solution pour perfusion",Boite de 10 flacon de 30 ML,657
"STERDEX, Capsule molle",Boîte de 12,26.4
"DIGREL 75 MG, Comprimé pelliculé",Boite de 28,199.4
"RETISOLNAA 0,025% Crème",Tube de 25g,96.8
"NITROGLICERINE PH&T 5 MG / ML, Solution injectable",Boîte de 50 ampoules de 1 ML,662
"NOMADOL 50 MG, Comprimé pelliculé",Boite de 30,42.1
"MIRCERA 100 µG / 0,3 ML, Solution injectable","Boîte de 1 seringue pré-remplie de 0,3 ml",2516
"CABAZRED 60 MG / 1,5 ML, Solution à diluer et solvant pour perfusion","Boite d'un flacon de 1,5 ML et 1 flacon de 4,5 ML de solvant",22044
"ELIQUIS 2,5 MG, Comprimé pelliculé",Boite de 60,960
"RHEUMON 5% Gel,",Tube 40g,32.5
"CO-ARAPRO 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 30,169.3
"IRVEL 150 MG, Comprimé pelliculé",Boite de 28,120
HEPARINE LEO 25 000UI/5ml Solution injectable,Boîte de 50 Flacons,
"DLASTOP 30 MG, Gélule",Boite de 10,23.4
"ZITHROMAX 100 MG, Sachet",Boîte de 3,72.4
"ARANESP 150 µg , Solution injectable",Boîte de 4 seringues,9407
"CO-ANGINIB 50 MG /12,5 MG, Comprimé pelliculé",Boite de 60,205
"PYBACTAM 4 MG / 500 MG, Poudre pour solution injectable",Boite unitaire,166.6
"FLECAINIDE SYNTHEMEDIC 100 MG, Comprimé sécable",Boite de 30,70.5
"OPAVIR 0.5 MG, Comprimé pelliculé",Boite de 30,2833
"FLONOX 500MG, Comprimé pelliculé",Boite de 12,72.7
"YODOCEFOL, Comprimé",Boite de 28,71
FLUOROURACILE MERCK 50 mg/ml Solution pour perfusion,Boîte de 1 flacon de 5 ml,23.5
"GENTOSYL 160 mg Soluté Injectable , Ampoule de 2 ml",Boîte de 6,123.5
"LIPISTAT 40 MG, Comprimé enrobé",Boîte de 28,159.6
"VITANEVRIL FORT, Comprimé dragéifié",Boîte de 30,28.8
"BROMAX 30 MG / 5 ML, Solution buvable",Flacon de 200 ml,33
"ROSUVAS® SUN 10 MG, Comprimé pelliculé",Boite de 30,157.8
"TANZAAR 50 Mg, Comprimé pelliculé",Boite de 28,81
"ZOLPIDEM NORMON 10 MG, Comprimé pelliculé",Boite de 30,64.9
"TERIX 250 MG, Comprimé",Boîte de 14,157
"MENACTRA 4 ?G, injectable","Solution injectable Boite de 1 flacons de 0,5ml",734
"ALFASPORINE 500 MG, Gélule",Boîte de 12,
"KÉTINE 300 MG, Comprimé à libération prolongée",Boite de 10,118
PLASTENAN NEO Pommade,Tube de 20 g,13
"CELTIM LP 1MG, Gel ophtalmique",Boite de 30 récipient unidose,82.3
"NURSIE 1ER AGE, Lait",Boite de 400G,62
"STIGMAT 3 MG, Gelule",Boite de 28,96.2
"ROVAMYCINE 1.5 MUI, Comprimé pelliculé",Boîte de 16,63.3
"BIOMIL PLUS AR 1ER AGE, Lait",Boite de 400G,65
"GALVUS MET 50 MG/1000 MG, Comprimé",Boite de 60 comprimés,392
"BC-F 8,4%, Solution concentrée basique pour hémodialyse au bicarbonate",Bidon de 10 litres,112
"SKINOSONE, Pommade",Tube de 15g,16.8
"DESYAL 5 MG, Comprimé pelliculé",Boite de 10,30.4
"BICARBONATE DE SODIUM 1,4 %, Solution Injectable pour perfusion intraveineuse",Flacon de verre 250 ml Carton de 12,188.1
"DIAPHARM 5 MG, Comprimé",Boîte de 40,14
"BIVARINE 200 MG, Gélule",Boite de 140,1779
"VOGASET 4 MG / 2 ML, Solution Injectable",Boîte de 5,318
"RAMIPRIL WIN 5 MG, Comprimé",Boîte de 15,28
"TERBINAFINE GT 250 mg , Comprimé sécable",Boîte de 28,269
"PROFLOX 250 MG, Comprimé",Boite de 20 comprimés enrobés,270
"ARTELAC, Collyre",Flacon de 10 ml,28.8
"VALPAKINE 200 mg/ml , Solution buvable",Flacon de 40 ml,44.15
"LOREUS 5 MG, Comprimé pelliiculé",Boite de 7,21.5
"EZIUM 20 MG, Gélule gastro-résistante",Boite de 28,148.3
"ANTIBIO-SYNALAR 2,5 MG / 1000000 UI / 350000 UI, Goutte auriculaire",Flacon de 10 ml,19.4
"MIDAL E, Capsule",Boite de 30,135
"AMEP 10 MG, Comprimé",Boîte de 56,148.6
"LIRAPYN 75 MG, Gélule",Flacon de 90,381
"NIFUROXAZIDE PHARMA 200 mg , Gélule",Boîte de 16,13
"ISTACYNE 200 MG, Comprimés",Boite de 10 comprimés,33
"MANEF 300 MG, Comprimé effervescent",Boite de 30,99
"ZYNARA 4MG, Comprimé",Boite de 60,170
FLUMYK 150 mg Gélule,Boîte de 1,27
"ANZATAX 150 MG / 25 ML, Solution à diluer pour perfusion",Flacon de 25 ml,2476
"SPIRAMYCINE LAPROPHAN 3 MUI, Comprimé pelliculé",Boite de 16,80.5
"DAROMED-T 20 Mg/ 5 MG / 5 MG, Collyre en solution",Flacon de 5 ML,107.1
"COLLUXID 0,1% , Solution pour bain de bouche",Flacon de 120 ml,15.5
"EXFORGE HCT 5 MG / 160 MG / 25 MG, comprimé",Boite de 28,361
"ANOR 70 MG, Comprimé",Boite de 12,451
"DIALYSOL ACIDE, Concentré pour hémodialyse",Bidon 10 L,144
"TASIGNA 200 MG, Capsule",Boîte de 112,33153
"PANADOL 125 MG, Suppositoire",Boîte de 10,10
DELTAZINE 4 % SANS VASOCONSTRICTEUR Solution injectable,"Boîte de 50 cartouches de1,7 ml",
"ZOEGAS 20 MG, Gélule",Boite 7,49.4
"O'MAG, Comprimé effervescent","Boite de 20 comprimés dosés à 300 MG ( Goût citron. Sans sucre, sans lactose et sans gluten )",86.5
"DAILY Gé 0,05mg/0,03mg et 0,075mg/0,04mg et 0,125mg/0,03mg, Comprimé enrobé","3*(Boîte de 6 roses, 5 blancs, 10 jaunes)",54.6
EFITAC 150mg Comprimé effervescent,Boîte de 20,76
"STARZOL 50 mg, Gélule",Boîte de 3,31
"TARKA 240 MG / 2 MG, Comprimé à libération modifié",28 comprimés,168.6
"CATALGINE 1 G, Sachet",Boîte de 20,34
"PIVALONE 1% , Suspension nasale",Flacon de 10 ml,24.4
"SOCLAV ENFANT 500 MG / 62,5 MG, Poudre pour suspension buvable",Boîte de 16 sachets,77.9
"MILIPREL 3mg, comprimés",Boite de 30 comprimés,51.3
"PRE MODILAC, Lait",Boite de 400G,60
"GLYCEMAT 30 mg, Comprimé",Boite de 60 comprimés à libération modifiés,68.5
ETOPOSIDE MYLAN 20 mg/ml solution pour perfusion,Boîte de 10 flacons de 10 ml,1465
PLASMOHES AGUTTANT 6% Solution pour perfusion,Boîte de 20 Poches de 500 ml,1845
"PENISTAPH 500 MG, Gélule",Boîte de 24,89
"GLIPHARM 5 mg , Comprimé",Boîte de 90,46.7
"VESSEL DUE F, Capsule",Boite de 50 capsules dosée à 250 LSU,304
"MYDRIASERT, Insert ophtalmique",Boite de 20 pinces et 20 inserts,1376
"MINIRIN SPRAY 10µg , Solution endonasale en flacon","Flacon de 3,5ml",206
"MEFSAL 15 MG, Comprimé sécables",Boite de 20,79
"SEVIKAR 40 MG / 5 MG, Comprimé",Boite de 30 comprimés,253
"PHYSIOLAC HA MV, Lait",Boite de 400G,85
"SOCLAV NOURRISSON 100 MG / 12,5 MG , Poudre pour suspension buvable",Flacon de 30 ml,38
"TOMUDEX 2 MG, Lyophilisat pour perfusion",Boîte de 1 Flacon de 5 ml,1715
"HUMALOG MIX 25 100 UI/ml , Suspension injectable",5 cartouches de 3ml,501
"DIFAL 1%, Gel",Tube de 50 gramme,38.2
"LAXAM 0.005 %, Collyre en solution",Flacon de 5 ML contenant 2.5 ML,102.1
"CLAVULIN 1 G / 125 MG, Sachet",Boîte de 24,221
"FLUOXET 20mg , Gélule",Boîte de 10,71.4
"SEPTOGERM, Pommade dermique",Tube de 30 G,46.5
"ACARD 50 MG, Comprimé pelliculé",Boite de 28,79
